湖南卫视,2,北京上海湖南
吉林公共,3,2018-08-01-18-00-00,120
大连文体,3,2018-08-01-18-00-00,120
CCTV5,3,2018-08-01-18-00-00,120
山东体育,3,2018-08-01-18-00-00,120
五星体育,3,2018-08-01-18-00-00,120
广东体育,3,2018-08-01-19-35-00,120
北京体育,3,2018-08-01-19-35-00,120
河南新闻,3,2018-08-01-19-35-00,120
江苏体育,3,2018-08-01-19-35-00,120
重庆生活,3,2018-08-01-19-35-00,120
贵州大众,3,2018-08-01-19-35-00,120
CCTV5,3,2018-08-01-20-00-00,120
五星体育,3,2018-08-01-20-00-00,120
天津体育,3,2018-08-01-20-00-00,120
CCTV5,3,2018-08-02-19-35-00,120
天津体育,3,2018-08-02-19-35-00,120
广东体育,3,2018-08-02-19-35-00,120
北京体育,3,2018-08-02-19-35-00,120
河北都市,3,2018-08-02-19-35-00,120
